,Area of Impact,Case Number,Event Number,Standard of Evenidence,Vehicle 1,Vehicle 2
1,Other Objects Set-In-Motion,61502,2,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
0,Not Reported,61505,1,Pedestrian,1,9999
0,Non-Harmful Event,61507,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61507,2,Utility Pole/Light Support,1,9999
0,Non-Harmful Event,61509,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61509,2,Parked Motor Vehicle ,1,2
2,Other Objects Set-In-Motion,61509,3,Parked Motor Vehicle ,1,3
0,12 Clock Point,61510,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,61510,2,Motor Vehicle In-Transport ,2,3
0,Non-Harmful Event,61518,1,Ran Off Roadway - Left,1,9999
1,Undercarriage,61518,2,Curb,1,9999
2,Left,61518,3,Guardrail Face,1,9999
3,Left,61518,4,Traffic Sign Support ,1,9999
4,Non-Harmful Event,61518,5,Re-entering Roadway,1,9999
5,Non-Harmful Event,61518,6,Ran Off Roadway - Right,1,9999
6,Undercarriage,61518,7,Curb,1,9999
0,Non-Harmful Event,61520,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,61520,2,Curb,1,9999
2,Non-Collision,61520,3,Rollover/Overturn,1,9999
0,Non-Harmful Event,61520,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,61520,2,Curb,1,9999
2,Non-Collision,61520,3,Rollover/Overturn,1,9999
0,Non-Harmful Event,61522,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,61522,2,Curb,1,9999
2,10 Clock Point,61522,3,Parked Motor Vehicle ,1,2
3,12 Clock Point,61522,4,Wall,1,9999
0,Non-Harmful Event,61522,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,61522,2,Curb,1,9999
2,10 Clock Point,61522,3,Parked Motor Vehicle ,1,2
3,12 Clock Point,61522,4,Wall,1,9999
0,12 Clock Point,61526,1,Motor Vehicle In-Transport ,2,1
1,12 Clock Point,61526,2,Motor Vehicle In-Transport ,3,1
0,Non-Harmful Event,61527,1,Ran Off Roadway - Right,1,9999
1,Undercarriage,61527,2,Curb,1,9999
0,12 Clock Point,61529,1,Pedestrian,1,9999
0,Non-Harmful Event,61532,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,61532,2,Other Fixed Object,1,9999
2,Non-Collision,61532,3,Fire/Explosion,1,9999
0,Non-Harmful Event,61533,1,Ran Off Roadway - Left,1,5555
1,Undercarriage,61533,2,Curb,1,9999
2,Not Reported,61533,3,Tree (Standing Only),1,9999
3,Not Reported,61533,4,Tree (Standing Only),1,9999
4,Not Reported,61533,5,Tree (Standing Only),1,9999
0,Non-Harmful Event,61533,1,Ran Off Roadway - Left,1,5555
1,Undercarriage,61533,2,Curb,1,9999
2,Not Reported,61533,3,Tree (Standing Only),1,9999
3,Not Reported,61533,4,Tree (Standing Only),1,9999
4,Not Reported,61533,5,Tree (Standing Only),1,9999
0,12 Clock Point,61536,1,Pedestrian,1,9999
1,Undercarriage,61536,2,Pedestrian,2,9999
0,Non-Harmful Event,61537,1,Ran Off Roadway - Right,1,9999
1,12 Clock Point,61537,2,Fence,1,9999
2,12 Clock Point,61537,3,Tree (Standing Only),1,9999
3,Non-Collision,61537,4,Rollover/Overturn,1,9999
0,12 Clock Point,61539,1,Pedestrian,1,9999
0,12 Clock Point,61540,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,61540,2,Ran Off Roadway - Left,2,5555
2,7 Clock Point,61540,3,Concrete Traffic Barrier,1,9999
3,12 Clock Point,61540,4,Motor Vehicle In-Transport ,1,2
4,Non-Harmful Event,61540,5,Ran Off Roadway - Left,2,5555
5,7 Clock Point,61540,6,Concrete Traffic Barrier,2,9999
6,11 Clock Point,61540,7,Concrete Traffic Barrier,2,9999
7,Non-Collision,61540,8,Rollover/Overturn,1,9999
8,Non-Collision,61540,9,Fire/Explosion,2,9999
0,Non-Harmful Event,61547,1,"Equipment Failure (blown tire, brake failure, etc)",1,5555
1,Non-Harmful Event,61547,2,Ran Off Roadway - Left,1,5555
2,Not Reported,61547,3,Concrete Traffic Barrier,1,9999
3,12 Clock Point,61547,4,Parked Motor Vehicle ,1,2
0,Non-Harmful Event,61548,1,Cross Centerline,1,5555
1,11 Clock Point,61548,2,Motor Vehicle In-Transport ,1,2
2,Non-Harmful Event,61548,3,Cross Centerline,1,5555
3,Non-Collision,61548,4,Fell/Jumped from Vehicle,1,9999
4,Non-Collision,61548,5,Rollover/Overturn,1,9999
0,Non-Harmful Event,61555,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,61555,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,61555,3,Cross Centerline,1,5555
3,Right-Front Side,61555,4,Motor Vehicle In-Transport ,1,2
4,Non-Harmful Event,61555,5,Ran Off Roadway - Left,1,5555
5,Not Reported,61555,6,Fence,1,9999
0,12 Clock Point,61556,1,Pedestrian,1,9999
0,Non-Harmful Event,61557,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,61557,2,Concrete Traffic Barrier,1,9999
2,Non-Collision,61557,3,Rollover/Overturn,1,9999
3,Top,61557,4,Concrete Traffic Barrier,1,9999
4,Top,61557,5,Concrete Traffic Barrier,1,9999
0,12 Clock Point,61558,1,Pedestrian,1,9999
0,12 Clock Point,61559,1,Motor Vehicle In-Transport ,1,2
1,9 Clock Point,61559,2,Motor Vehicle In-Transport ,1,3
2,12 Clock Point,61559,3,Motor Vehicle In-Transport ,2,5
3,12 Clock Point,61559,4,Motor Vehicle In-Transport ,3,4
4,12 Clock Point,61559,5,Motor Vehicle In-Transport ,5,3
5,12 Clock Point,61559,6,Motor Vehicle In-Transport ,5,6
0,12 Clock Point,61560,1,Pedestrian,1,9999
0,Non-Collision,61563,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,61563,2,Ran Off Roadway - Left,1,5555
2,Undercarriage,61563,3,Curb,1,9999
0,Non-Collision,61564,1,Rollover/Overturn,1,9999
1,Other Objects Set-In-Motion,61564,2,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
0,Non-Harmful Event,61565,1,Ran Off Roadway - Right,1,5555
1,Not Reported,61565,2,Traffic Sign Support ,1,9999
2,Non-Collision,61565,3,Rollover/Overturn,1,9999
0,Non-Harmful Event,61566,1,Ran Off Roadway - Left,1,5555
1,Undercarriage,61566,2,Curb,1,9999
2,12 Clock Point,61566,3,Traffic Sign Support ,1,9999
3,12 Clock Point,61566,4,Shrubbery,1,9999
4,Non-Collision,61566,5,Rollover/Overturn,1,9999
5,Non-Harmful Event,61566,6,Ran Off Roadway - Left,1,5555
6,Not Reported,61566,7,Guardrail Face,1,9999
7,Not Reported,61566,8,Bridge Pier or Support,1,9999
8,Not Reported,61566,9,Guardrail Face,1,9999
9,Non-Harmful Event,61566,10,Re-entering Roadway,1,5555
10,Non-Collision,61566,11,Rollover/Overturn,1,9999
0,Non-Harmful Event,61566,1,Ran Off Roadway - Left,1,5555
1,Undercarriage,61566,2,Curb,1,9999
2,12 Clock Point,61566,3,Traffic Sign Support ,1,9999
3,12 Clock Point,61566,4,Shrubbery,1,9999
4,Non-Collision,61566,5,Rollover/Overturn,1,9999
5,Non-Harmful Event,61566,6,Ran Off Roadway - Left,1,5555
6,Not Reported,61566,7,Guardrail Face,1,9999
7,Not Reported,61566,8,Bridge Pier or Support,1,9999
8,Not Reported,61566,9,Guardrail Face,1,9999
9,Non-Harmful Event,61566,10,Re-entering Roadway,1,5555
10,Non-Collision,61566,11,Rollover/Overturn,1,9999
0,Non-Harmful Event,61566,1,Ran Off Roadway - Left,1,5555
1,Undercarriage,61566,2,Curb,1,9999
2,12 Clock Point,61566,3,Traffic Sign Support ,1,9999
3,12 Clock Point,61566,4,Shrubbery,1,9999
4,Non-Collision,61566,5,Rollover/Overturn,1,9999
5,Non-Harmful Event,61566,6,Ran Off Roadway - Left,1,5555
6,Not Reported,61566,7,Guardrail Face,1,9999
7,Not Reported,61566,8,Bridge Pier or Support,1,9999
8,Not Reported,61566,9,Guardrail Face,1,9999
9,Non-Harmful Event,61566,10,Re-entering Roadway,1,5555
10,Non-Collision,61566,11,Rollover/Overturn,1,9999
0,12 Clock Point,61570,1,Pedestrian,1,9999
1,12 Clock Point,61570,2,Pedestrian,2,9999
0,Non-Harmful Event,61571,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,61571,2,Curb,1,9999
2,12 Clock Point,61571,3,Traffic Sign Support ,1,9999
3,Set-In-Motion (Not a Clock Point),61571,4,Pedestrian,1,9999
0,Non-Harmful Event,61571,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,61571,2,Curb,1,9999
2,12 Clock Point,61571,3,Traffic Sign Support ,1,9999
3,Set-In-Motion (Not a Clock Point),61571,4,Pedestrian,1,9999
0,Reported as Unknown,61572,1,Pedestrian,1,9999
0,Non-Harmful Event,61574,1,End Departure,1,9999
1,Not Reported,61574,2,Other Fixed Object,1,9999
0,Non-Harmful Event,61577,1,Ran Off Roadway - Right,1,5555
1,Not Reported,61577,2,Pedestrian,1,9999
2,5 Clock Point,61577,3,Tree (Standing Only),1,9999
3,7 Clock Point,61577,4,Tree (Standing Only),1,9999
4,Not Reported,61577,5,Boulder,1,9999
5,Non-Harmful Event,61577,6,Vehicle Went Airborne,1,5555
6,Other Objects Set-In-Motion,61577,7,Wall,1,9999
7,Other Objects Set-In-Motion,61577,8,Wall,1,9999
8,Not Reported,61577,9,Pedestrian,1,9999
9,Not Reported,61577,10,Wall,1,9999
0,Non-Harmful Event,61578,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,61578,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,61578,3,Cross Centerline,1,5555
3,Non-Harmful Event,61578,4,Ran Off Roadway - Left,1,5555
4,Non-Collision,61578,5,Rollover/Overturn,1,9999
0,Non-Harmful Event,61578,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,61578,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,61578,3,Cross Centerline,1,5555
3,Non-Harmful Event,61578,4,Ran Off Roadway - Left,1,5555
4,Non-Collision,61578,5,Rollover/Overturn,1,9999
0,Non-Harmful Event,61579,1,Cross Centerline,1,5555
1,7 Clock Point,61579,2,Motor Vehicle In-Transport ,1,2
2,12 Clock Point,61579,3,Motor Vehicle In-Transport ,3,1
3,7 Clock Point,61579,4,Motor Vehicle In-Transport ,1,4
4,Non-Harmful Event,61579,5,Ran Off Roadway - Left,1,5555
5,6 Clock Point,61579,6,Bridge Rail (Includes parapet),1,9999
0,12 Clock Point,61580,1,Pedestrian,1,9999
0,Non-Harmful Event,61581,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,61581,2,Curb,1,9999
2,Non-Collision,61581,3,Rollover/Overturn,1,9999
3,12 Clock Point,61581,4,Railway Vehicle,1,9999
0,12 Clock Point,61582,1,Pedestrian,1,9999
0,Undercarriage,61586,1,Pedestrian,1,9999
0,12 Clock Point,61587,1,Pedestrian,1,9999
0,Non-Collision,61588,1,Rollover/Overturn,1,9999
0,Non-Collision,61588,1,Rollover/Overturn,1,9999
0,Non-Harmful Event,61591,1,Cross Centerline,1,5555
1,Left-Back Side,61591,2,Motor Vehicle In-Transport ,1,2
2,12 Clock Point,61591,3,Motor Vehicle In-Transport ,1,3
3,Non-Collision,61591,4,Fire/Explosion,1,9999
4,Non-Collision,61591,5,Fire/Explosion,2,9999
5,Non-Collision,61591,6,Fire/Explosion,3,9999
0,12 Clock Point,61594,1,Pedestrian,1,9999
0,12 Clock Point,61594,1,Pedestrian,1,9999
0,12 Clock Point,61595,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,61595,2,Motor Vehicle In-Transport ,2,3
2,Other Objects Set-In-Motion,61595,3,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,5
3,12 Clock Point,61595,4,Motor Vehicle In-Transport ,4,2
0,Non-Harmful Event,61596,1,Ran Off Roadway - Left,1,5555
1,Left,61596,2,Guardrail Face,1,9999
2,Non-Harmful Event,61596,3,Re-entering Roadway,1,5555
3,Non-Harmful Event,61596,4,Ran Off Roadway - Right,1,5555
4,Left-Front Side,61596,5,Concrete Traffic Barrier,1,9999
0,Non-Harmful Event,61596,1,Ran Off Roadway - Left,1,5555
1,Left,61596,2,Guardrail Face,1,9999
2,Non-Harmful Event,61596,3,Re-entering Roadway,1,5555
3,Non-Harmful Event,61596,4,Ran Off Roadway - Right,1,5555
4,Left-Front Side,61596,5,Concrete Traffic Barrier,1,9999
0,12 Clock Point,61599,1,Pedestrian,1,9999
0,12 Clock Point,61599,1,Pedestrian,1,9999
0,12 Clock Point,61599,1,Pedestrian,1,9999
0,12 Clock Point,61601,1,Pedalcyclist,1,9999
0,Non-Harmful Event,61605,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,61605,2,Guardrail End,1,9999
0,12 Clock Point,61607,1,Motor Vehicle In-Transport ,1,2
0,9 Clock Point,61609,1,Wall,1,9999
1,9 Clock Point,61609,2,Pedestrian,1,9999
0,9 Clock Point,61609,1,Wall,1,9999
1,9 Clock Point,61609,2,Pedestrian,1,9999
0,12 Clock Point,61610,1,Pedalcyclist,1,9999
0,Non-Harmful Event,61611,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61611,2,Other Object (not fixed),1,9999
2,12 Clock Point,61611,3,Pedestrian,1,9999
0,Non-Harmful Event,61611,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61611,2,Other Object (not fixed),1,9999
2,12 Clock Point,61611,3,Pedestrian,1,9999
0,Non-Harmful Event,61611,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61611,2,Other Object (not fixed),1,9999
2,12 Clock Point,61611,3,Pedestrian,1,9999
0,Non-Collision,61614,1,Rollover/Overturn,1,9999
0,Non-Harmful Event,61615,1,Ran Off Roadway - Left,1,5555
1,Undercarriage,61615,2,Curb,1,9999
2,Undercarriage,61615,3,Curb,1,9999
3,Right-Front Side,61615,4,Tree (Standing Only),1,9999
0,Non-Harmful Event,61616,1,Cross Centerline,1,9999
1,12 Clock Point,61616,2,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,61616,1,Cross Centerline,1,9999
1,12 Clock Point,61616,2,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,61616,1,Cross Centerline,1,9999
1,12 Clock Point,61616,2,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,61617,1,Ran Off Roadway - Left,1,5555
1,Not Reported,61617,2,Concrete Traffic Barrier,1,9999
2,Non-Harmful Event,61617,3,Re-entering Roadway,1,5555
3,Non-Collision,61617,4,Rollover/Overturn,1,9999
0,Non-Harmful Event,61618,1,Cross Centerline,1,5555
1,12 Clock Point,61618,2,Motor Vehicle In-Transport ,1,2
2,Non-Collision,61618,3,Fell/Jumped from Vehicle,1,9999
3,Non-Harmful Event,61618,4,Ran Off Roadway - Left,1,5555
4,Not Reported,61618,5,Tree (Standing Only),1,9999
5,Non-Collision,61618,6,Rollover/Overturn,1,9999
0,12 Clock Point,61619,1,Pedestrian,1,9999
0,Non-Harmful Event,61621,1,Ran Off Roadway - Left,1,5555
1,Undercarriage,61621,2,Curb,1,9999
2,Left,61621,3,Tree (Standing Only),1,9999
0,Non-Harmful Event,61621,1,Ran Off Roadway - Left,1,5555
1,Undercarriage,61621,2,Curb,1,9999
2,Left,61621,3,Tree (Standing Only),1,9999
0,12 Clock Point,61625,1,Pedestrian,1,9999
1,12 Clock Point,61625,2,Pedestrian,2,9999
2,12 Clock Point,61625,3,Pedestrian,3,9999
0,Non-Harmful Event,61626,1,Ran Off Roadway - Right,1,5555
1,Not Reported,61626,2,"Other Post, Other Pole or Other Supports",1,9999
2,Not Reported,61626,3,Utility Pole/Light Support,1,9999
3,Non-Collision,61626,4,Rollover/Overturn,1,9999
0,12 Clock Point,61627,1,Pedestrian,1,9999
0,12 Clock Point,61627,1,Pedestrian,1,9999
0,Non-Collision,61628,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,61628,2,Ran Off Roadway - Right,1,5555
2,Non-Harmful Event,61628,3,Vehicle Went Airborne,1,5555
3,Not Reported,61628,4,Other Object (not fixed),1,9999
0,12 Clock Point,61630,1,Motor Vehicle In-Transport ,2,1
0,12 Clock Point,61630,1,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,61633,1,Cross Centerline,1,5555
1,Non-Harmful Event,61633,2,Ran Off Roadway - Left,1,5555
2,Non-Collision,61633,3,Rollover/Overturn,1,9999
3,Not Reported,61633,4,Tree (Standing Only),1,9999
0,2 Clock Point,61636,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,61636,2,Ran Off Roadway - Left,1,5555
2,Non-Harmful Event,61636,3,Cross Median,1,5555
3,3 Clock Point,61636,4,Motor Vehicle In-Transport ,1,4
4,12 Clock Point,61636,5,Motor Vehicle In-Transport ,1,3
0,Unknown,61637,1,Non-Motorist on Personal Conveyance,1,9999
1,Unknown,61637,2,Non-Motorist on Personal Conveyance,2,9999
0,12 Clock Point,61638,1,Motor Vehicle In-Transport ,2,1
0,12 Clock Point,61639,1,Motor Vehicle In-Transport ,2,1
0,12 Clock Point,61639,1,Motor Vehicle In-Transport ,2,1
0,12 Clock Point,61641,1,Pedestrian,1,9999
0,Right-Front Half,61643,1,Pedestrian,1,9999
0,Non-Harmful Event,61645,1,Cross Centerline,1,5555
1,Non-Harmful Event,61645,2,Cross Centerline,1,5555
2,Right,61645,3,Motor Vehicle In-Transport ,1,3
3,12 Clock Point,61645,4,Motor Vehicle In-Transport ,1,2
4,5 Clock Point,61645,5,Motor Vehicle In-Transport ,1,3
5,12 Clock Point,61645,6,Motor Vehicle In-Transport ,4,1
6,Non-Harmful Event,61645,7,Ran Off Roadway - Right,1,5555
7,Not Reported,61645,8,Traffic Sign Support ,1,9999
8,Non-Harmful Event,61645,9,Cross Centerline,3,5555
9,Non-Harmful Event,61645,10,Ran Off Roadway - Left,3,5555
10,Not Reported,61645,11,Other Object (not fixed),3,9999
11,Not Reported,61645,12,Wall,3,9999
0,12 Clock Point,61647,1,Pedestrian,1,9999
0,Non-Harmful Event,61650,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,61650,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,61650,3,Cross Centerline,1,5555
3,Non-Harmful Event,61650,4,Ran Off Roadway - Left,1,5555
4,Not Reported,61650,5,Embankment,1,9999
0,Non-Harmful Event,61651,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61651,2,Shrubbery,1,9999
2,12 Clock Point,61651,3,Other Fixed Object,1,9999
3,12 Clock Point,61651,4,Traffic Sign Support ,1,9999
4,Non-Harmful Event,61651,5,Vehicle Went Airborne,1,5555
5,12 Clock Point,61651,6,Ground,1,9999
6,12 Clock Point,61651,7,Bridge Pier or Support,1,9999
7,Non-Harmful Event,61651,8,Vehicle Went Airborne,1,5555
8,12 Clock Point,61651,9,Guardrail Face,1,9999
9,Non-Harmful Event,61651,10,Re-entering Roadway,1,5555
10,Non-Collision,61651,11,Fire/Explosion,1,9999
0,Non-Collision,61652,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,61652,2,Ran Off Roadway - Left,1,9999
2,12 Clock Point,61652,3,Guardrail Face,1,9999
3,Non-Harmful Event,61652,4,Re-entering Roadway,1,9999
4,Not Reported,61652,5,Motor Vehicle In-Transport ,1,2
5,Non-Harmful Event,61652,6,Ran Off Roadway - Right,2,9999
6,12 Clock Point,61652,7,Tree (Standing Only),2,9999
0,Non-Collision,61652,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,61652,2,Ran Off Roadway - Left,1,9999
2,12 Clock Point,61652,3,Guardrail Face,1,9999
3,Non-Harmful Event,61652,4,Re-entering Roadway,1,9999
4,Not Reported,61652,5,Motor Vehicle In-Transport ,1,2
5,Non-Harmful Event,61652,6,Ran Off Roadway - Right,2,9999
6,12 Clock Point,61652,7,Tree (Standing Only),2,9999
0,12 Clock Point,61653,1,Pedestrian,1,9999
0,Non-Harmful Event,61656,1,Cross Centerline,1,5555
1,Non-Collision,61656,2,Rollover/Overturn,1,9999
2,Non-Harmful Event,61656,3,Ran Off Roadway - Right,1,5555
3,Not Reported,61656,4,Curb,1,9999
4,Other Objects Set-In-Motion,61656,5,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
0,Non-Harmful Event,61659,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61659,2,Parked Motor Vehicle ,1,2
0,12 Clock Point,61661,1,Pedestrian,1,9999
0,12 Clock Point,61662,1,Pedestrian,1,9999
1,12 Clock Point,61662,2,Pedestrian,2,9999
2,12 Clock Point,61662,3,Pedestrian,3,9999
0,12 Clock Point,61663,1,Pedestrian,1,9999
0,12 Clock Point,61663,1,Pedestrian,1,9999
0,12 Clock Point,61665,1,Pedalcyclist,1,9999
0,12 Clock Point,61668,1,Motor Vehicle In-Transport ,2,1
0,12 Clock Point,61669,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,61669,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,61671,1,Pedestrian,1,9999
1,Non-Harmful Event,61671,2,Ran Off Roadway - Right,1,9999
2,Undercarriage,61671,3,Curb,1,9999
3,12 Clock Point,61671,4,Wall,1,9999
0,12 Clock Point,61671,1,Pedestrian,1,9999
1,Non-Harmful Event,61671,2,Ran Off Roadway - Right,1,9999
2,Undercarriage,61671,3,Curb,1,9999
3,12 Clock Point,61671,4,Wall,1,9999
0,Non-Harmful Event,61672,1,Ran Off Roadway - Left,1,5555
1,Non-Collision,61672,2,Rollover/Overturn,1,9999
0,Non-Harmful Event,61673,1,Cross Centerline,1,5555
1,Left,61673,2,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,61673,1,Cross Centerline,1,5555
1,Left,61673,2,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,61674,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,61674,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,61674,3,Cross Centerline,1,5555
3,12 Clock Point,61674,4,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,61674,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,61674,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,61674,3,Cross Centerline,1,5555
3,12 Clock Point,61674,4,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,61674,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,61674,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,61674,3,Cross Centerline,1,5555
3,12 Clock Point,61674,4,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,61674,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,61674,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,61674,3,Cross Centerline,1,5555
3,12 Clock Point,61674,4,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,61675,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61675,2,Tree (Standing Only),1,9999
2,12 Clock Point,61675,3,Tree (Standing Only),1,9999
0,Non-Harmful Event,61676,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,61676,2,Boulder,1,9999
0,Non-Harmful Event,61676,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,61676,2,Boulder,1,9999
0,12 Clock Point,61677,1,Pedestrian,1,9999
0,12 Clock Point,61677,1,Pedestrian,1,9999
0,Non-Collision,61678,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,61678,2,Ran Off Roadway - Right,1,5555
2,Set-In-Motion (Not a Clock Value),61678,3,Tree (Standing Only),1,9999
0,Not Reported,61680,1,Pedestrian,1,9999
1,Not Reported,61680,2,Motor Vehicle In-Transport ,1,3
2,Set-In-Motion (Not a Clock Value),61680,3,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
0,Non-Harmful Event,61682,1,Ran Off Roadway - Right,1,5555
1,Not Reported,61682,2,Curb,1,9999
2,9 Clock Point,61682,3,Utility Pole/Light Support,1,9999
3,Other Objects Set-In-Motion,61682,4,Traffic Sign Support ,1,9999
0,Right,61683,1,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,61684,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,61684,2,Curb,1,9999
2,Not Reported,61684,3,Boulder,1,9999
3,Non-Collision,61684,4,Rollover/Overturn,1,9999
4,Not Reported,61684,5,Tree (Standing Only),1,9999
5,Undercarriage,61684,6,Bridge Pier or Support,1,9999
0,Non-Harmful Event,61684,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,61684,2,Curb,1,9999
2,Not Reported,61684,3,Boulder,1,9999
3,Non-Collision,61684,4,Rollover/Overturn,1,9999
4,Not Reported,61684,5,Tree (Standing Only),1,9999
5,Undercarriage,61684,6,Bridge Pier or Support,1,9999
0,Non-Harmful Event,61684,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,61684,2,Curb,1,9999
2,Not Reported,61684,3,Boulder,1,9999
3,Non-Collision,61684,4,Rollover/Overturn,1,9999
4,Not Reported,61684,5,Tree (Standing Only),1,9999
5,Undercarriage,61684,6,Bridge Pier or Support,1,9999
0,Non-Harmful Event,61684,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,61684,2,Curb,1,9999
2,Not Reported,61684,3,Boulder,1,9999
3,Non-Collision,61684,4,Rollover/Overturn,1,9999
4,Not Reported,61684,5,Tree (Standing Only),1,9999
5,Undercarriage,61684,6,Bridge Pier or Support,1,9999
0,12 Clock Point,61685,1,Pedestrian,1,9999
0,12 Clock Point,61688,1,Pedestrian,1,9999
1,12 Clock Point,61688,2,Pedestrian,1,9999
0,Non-Harmful Event,61690,1,Ran Off Roadway - Right,1,5555
1,Not Reported,61690,2,Boulder,1,9999
0,12 Clock Point,61694,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,61694,2,Ran Off Roadway - Left,1,5555
2,12 Clock Point,61694,3,Concrete Traffic Barrier,1,9999
3,Non-Harmful Event,61694,4,Re-entering Roadway,1,5555
4,12 Clock Point,61694,5,Motor Vehicle In-Transport ,3,2
5,12 Clock Point,61694,6,Motor Vehicle In-Transport ,4,1
6,Non-Collision,61694,7,Fire/Explosion,2,9999
0,12 Clock Point,61694,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,61694,2,Ran Off Roadway - Left,1,5555
2,12 Clock Point,61694,3,Concrete Traffic Barrier,1,9999
3,Non-Harmful Event,61694,4,Re-entering Roadway,1,5555
4,12 Clock Point,61694,5,Motor Vehicle In-Transport ,3,2
5,12 Clock Point,61694,6,Motor Vehicle In-Transport ,4,1
6,Non-Collision,61694,7,Fire/Explosion,2,9999
0,12 Clock Point,61695,1,Pedestrian,1,9999
0,Non-Harmful Event,61698,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61698,2,Other Fixed Object,1,9999
2,12 Clock Point,61698,3,Other Fixed Object,1,9999
3,12 Clock Point,61698,4,"Other Post, Other Pole or Other Supports",1,9999
4,Non-Collision,61698,5,Rollover/Overturn,1,9999
5,Not Reported,61698,6,Fence,1,9999
6,Non-Collision,61698,7,Immersion or Partial Immersion,1,9999
0,Non-Harmful Event,61698,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,61698,2,Other Fixed Object,1,9999
2,12 Clock Point,61698,3,Other Fixed Object,1,9999
