,Case Number,Area of Impact,Standard of Evenidence,Event Number,Vehicle 1,Vehicle 2
2,61240,Left,Tree (Standing Only),3,1,9999
3,61240,Non-Collision,Rollover/Overturn,4,1,9999
0,61242,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61242,12 Clock Point,Parked Motor Vehicle ,2,1,2
0,61243,Non-Harmful Event,Ran Off Roadway - Right,1,1,9999
1,61243,12 Clock Point,Guardrail Face,2,1,9999
0,61243,12 Clock Point,Pedestrian,1,1,9999
0,61244,12 Clock Point,Pedestrian,1,1,9999
1,61244,Reported as Unknown,Pedestrian,2,2,9999
2,61244,12 Clock Point,Pedestrian,3,3,9999
0,61246,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,61249,12 Clock Point,Pedestrian,1,1,9999
0,61250,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
1,61250,Non-Harmful Event,Cross Centerline,2,2,5555
2,61250,Non-Harmful Event,Ran Off Roadway - Left,3,2,5555
3,61250,Non-Harmful Event,Re-entering Roadway,4,2,5555
4,61250,12 Clock Point,Motor Vehicle In-Transport ,5,2,3
0,61251,12 Clock Point,Pedestrian,1,1,9999
0,61253,Non-Harmful Event,Cross Centerline,1,1,5555
1,61253,Non-Harmful Event,Cross Centerline,2,1,5555
2,61253,Non-Harmful Event,Ran Off Roadway - Right,3,1,5555
3,61253,Undercarriage,Boulder,4,1,9999
4,61253,Non-Collision,Rollover/Overturn,5,1,9999
5,61253,Top,Tree (Standing Only),6,1,9999
0,61254,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61254,12 Clock Point,Utility Pole/Light Support,2,1,9999
0,61255,Not Reported,Other Object (not fixed),1,1,9999
1,61255,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,61255,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,61255,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
4,61255,Non-Collision,Rollover/Overturn,5,1,9999
0,61257,Non-Collision,Rollover/Overturn,1,1,9999
1,61257,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,61257,6 Clock Point,Curb,3,1,9999
3,61257,6 Clock Point,Parked Motor Vehicle ,4,1,2
0,61258,12 Clock Point,Motor Vehicle In-Transport ,1,1,3
1,61258,Non-Collision,Rollover/Overturn,2,2,9999
2,61258,6 Clock Point,Motor Vehicle In-Transport ,3,3,4
3,61258,Non-Collision,Rollover/Overturn,4,1,9999
4,61258,12 Clock Point,Motor Vehicle In-Transport ,5,5,1
5,61258,Not Reported,Motor Vehicle In-Transport ,6,1,4
0,61262,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
1,61262,Other Objects Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,2,1
0,61262,Non-Harmful Event,Cross Centerline,1,1,5555
1,61262,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
0,61267,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,61267,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,61267,Right-Back Side,Tree (Standing Only),3,1,9999
0,61268,12 Clock Point,Pedestrian,1,1,9999
0,61268,12 Clock Point,Pedestrian,1,1,9999
0,61269,12 Clock Point,Pedestrian,1,1,9999
0,61272,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,61272,Undercarriage,Curb,2,1,9999
2,61272,Non-Harmful Event,Cross Median,3,1,5555
3,61272,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
4,61272,Not Reported,Culvert,5,1,9999
5,61272,Not Reported,Other Fixed Object,6,1,9999
6,61272,Not Reported,"Other Post, Other Pole or Other Supports",7,1,9999
7,61272,Left,Other Fixed Object,8,1,9999
8,61272,Non-Collision,Rollover/Overturn,9,1,9999
0,61273,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
1,61273,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,61273,1 Clock Point,Guardrail Face,3,1,9999
3,61273,Set-In-Motion (Not a Clock Value),"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",4,2,3
0,61274,11 Clock Point,Pedestrian,1,1,9999
0,61277,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61277,Not Reported,Guardrail Face,2,1,9999
2,61277,Non-Collision,Rollover/Overturn,3,1,9999
3,61277,Not Reported,Bridge Pier or Support,4,1,9999
0,61277,Non-Harmful Event,Cross Centerline,1,1,5555
1,61277,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
0,61279,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,61280,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,61280,Other Objects Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,2,1
2,61280,Non-Collision,Rollover/Overturn,3,2,9999
3,61280,Non-Collision,Fire/Explosion,4,1,9999
4,61280,Non-Collision,Fire/Explosion,5,2,9999
0,61281,Non-Collision,Rollover/Overturn,1,1,9999
1,61281,6 Clock Point,Motor Vehicle In-Transport ,2,1,2
0,61282,Non-Harmful Event,Ran Off Roadway - Right,1,1,9999
1,61282,12 Clock Point,Pedestrian,2,1,9999
2,61282,12 Clock Point,Motor Vehicle In-Transport ,3,1,2
3,61282,Non-Harmful Event,Re-entering Roadway,4,1,9999
4,61282,Non-Harmful Event,Ran Off Roadway - Left,5,1,9999
5,61282,Set-In-Motion (Not a Clock Point),"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",6,1,3
0,61282,12 Clock Point,Pedestrian,1,1,9999
0,61283,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61283,Not Reported,Embankment,2,1,9999
2,61283,Non-Collision,Rollover/Overturn,3,1,9999
0,61284,12 Clock Point,Pedestrian,1,1,9999
0,61284,12 Clock Point,Pedestrian,1,1,9999
0,61291,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,61291,Non-Collision,Rollover/Overturn,2,1,9999
0,61291,Non-Harmful Event,Ran Off Roadway - Right,1,1,9999
1,61291,Not Reported,Other Fixed Object,2,1,9999
2,61291,7 Clock Point,Tree (Standing Only),3,1,9999
3,61291,9 Clock Point,Boulder,4,1,9999
0,61292,Non-Harmful Event,Cross Centerline,1,1,5555
1,61292,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
2,61292,Non-Collision,Rollover/Overturn,3,1,9999
0,61293,Non-Harmful Event,Cross Centerline,1,1,5555
1,61293,6 Clock Point,Pedestrian,2,1,9999
2,61293,6 Clock Point,Parked Motor Vehicle ,3,1,2
0,61293,12 Clock Point,Pedestrian,1,1,9999
0,61294,12 Clock Point,Pedestrian,1,1,9999
0,61295,Non-Harmful Event,Ran Off Roadway - Right,1,1,9999
1,61295,Undercarriage,Curb,2,1,9999
2,61295,Non-Harmful Event,Re-entering Roadway,3,1,9999
3,61295,12 Clock Point,Motor Vehicle In-Transport ,4,1,2
0,61296,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61296,Non-Harmful Event,Re-entering Roadway,2,1,5555
2,61296,Non-Harmful Event,Cross Centerline,3,1,5555
3,61296,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
4,61296,Non-Collision,Rollover/Overturn,5,1,9999
5,61296,Non-Collision,Immersion or Partial Immersion,6,1,9999
0,61301,12 Clock Point,Pedestrian,1,1,9999
0,61302,Non-Collision,Rollover/Overturn,1,2,9999
1,61302,Not Reported,Motor Vehicle In-Transport ,2,2,1
0,61304,Non-Harmful Event,Cross Centerline,1,1,5555
1,61304,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
2,61304,Non-Collision,Rollover/Overturn,3,1,9999
0,61306,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
1,61306,Non-Harmful Event,Cross Centerline,2,1,5555
2,61306,Non-Harmful Event,Cross Centerline,3,2,5555
3,61306,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
4,61306,Non-Harmful Event,Ran Off Roadway - Left,5,2,5555
5,61306,12 Clock Point,Embankment,6,2,9999
6,61306,12 Clock Point,Fence,7,2,9999
0,61307,Non-Harmful Event,Cross Centerline,1,1,5555
1,61307,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
0,61307,Right-Back Side,Motor Vehicle In-Transport ,1,1,2
1,61307,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,61307,12 Clock Point,Embankment,3,1,9999
3,61307,Non-Harmful Event,Vehicle Went Airborne,4,1,5555
4,61307,Left-Back Side,Utility Pole/Light Support,5,1,9999
5,61307,Non-Collision,Rollover/Overturn,6,1,9999
0,61308,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,61308,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,61308,Non-Collision,Rollover/Overturn,2,1,9999
0,61315,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,61316,12 Clock Point,Non-Motorist on Personal Conveyance,1,1,9999
0,61319,Non-Harmful Event,Cross Centerline,1,1,5555
1,61319,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
0,61319,Non-Harmful Event,Cross Centerline,1,1,5555
1,61319,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
2,61319,Non-Harmful Event,Ran Off Roadway - Right,3,2,5555
3,61319,6 Clock Point,Guardrail Face,4,2,9999
4,61319,Non-Harmful Event,Cross Centerline,5,1,5555
5,61319,Non-Collision,Rollover/Overturn,6,1,9999
0,61321,1 Clock Point,Pedalcyclist,1,1,9999
0,61323,Non-Collision,Fell/Jumped from Vehicle,1,1,9999
0,61323,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,61323,Non-Collision,Rollover/Overturn,2,1,9999
0,61325,Non-Harmful Event,Ran Off Roadway - Right,1,1,9999
1,61325,12 Clock Point,Other Object (not fixed),2,1,9999
0,61326,1 Clock Point,Pedalcyclist,1,1,9999
0,61327,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61327,Non-Harmful Event,Re-entering Roadway,2,1,5555
2,61327,Non-Collision,Rollover/Overturn,3,1,9999
0,61327,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61327,12 Clock Point,Parked Motor Vehicle ,2,1,2
0,61330,Non-Harmful Event,Ran Off Roadway - Right,1,1,9999
1,61330,12 Clock Point,Parked Motor Vehicle ,2,1,2
2,61330,12 Clock Point,Pedestrian,3,1,9999
3,61330,12 Clock Point,Pedestrian,4,1,9999
4,61330,Set-In-Motion (Not a Clock Point),Parked Motor Vehicle ,5,1,2
5,61330,Non-Harmful Event,Re-entering Roadway,6,1,9999
6,61330,Non-Collision,Rollover/Overturn,7,1,9999
0,61330,Non-Harmful Event,Cross Centerline,1,1,5555
1,61330,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
0,61330,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,61331,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
0,61332,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
1,61332,12 Clock Point,Pedestrian,2,2,9999
0,61332,Non-Collision,Fell/Jumped from Vehicle,1,1,9999
1,61332,Non-Collision,Rollover/Overturn,2,1,9999
0,61333,12 Clock Point,Pedestrian,1,1,9999
0,61336,Non-Harmful Event,Cross Centerline,1,1,5555
1,61336,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,61336,Not Reported,Embankment,3,1,9999
3,61336,Non-Harmful Event,Re-entering Roadway,4,1,5555
4,61336,12 Clock Point,Motor Vehicle In-Transport ,5,2,1
0,61338,Non-Collision,Rollover/Overturn,1,2,9999
1,61338,Other Objects Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,2,1
2,61338,Other Objects Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",3,2,1
0,61339,Right,Motor Vehicle In-Transport ,1,1,2
1,61339,12 Clock Point,Motor Vehicle In-Transport ,2,1,3
2,61339,Non-Collision,Fell/Jumped from Vehicle,3,1,9999
3,61339,Non-Collision,Rollover/Overturn,4,1,9999
0,61340,Non-Harmful Event,Cross Centerline,1,1,5555
1,61340,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
2,61340,12 Clock Point,Motor Vehicle In-Transport ,3,3,1
0,61343,12 Clock Point,Pedestrian,1,1,9999
1,61343,12 Clock Point,Pedestrian,2,1,9999
0,61343,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61343,12 Clock Point,Tree (Standing Only),2,1,9999
0,61344,12 Clock Point,Pedestrian,1,1,9999
0,61344,Non-Harmful Event,Cross Centerline,1,1,5555
1,61344,Non-Harmful Event,Cross Centerline,2,2,5555
2,61344,12 Clock Point,Motor Vehicle In-Transport ,3,1,2
3,61344,Cargo/Vehicle Parts Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",4,1,2
4,61344,Not Reported,Motor Vehicle In-Transport ,5,2,1
0,61345,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61345,Not Reported,Tree (Standing Only),2,1,9999
2,61345,Not Reported,Tree (Standing Only),3,1,9999
0,61347,Non-Harmful Event,Cross Centerline,1,1,5555
1,61347,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
0,61347,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,61347,Not Reported,Pedestrian,2,1,9999
0,61349,Non-Harmful Event,Cross Centerline,1,1,9999
1,61349,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
0,61353,Non-Harmful Event,Cross Centerline,1,1,5555
1,61353,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,61353,12 Clock Point,Tree (Standing Only),3,1,9999
3,61353,Non-Collision,Fire/Explosion,4,1,9999
0,61354,12 Clock Point,Pedestrian,1,1,9999
0,61354,3 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,61354,Non-Collision,Fire/Explosion,2,2,9999
0,61354,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,61354,Not Reported,Curb,2,1,9999
2,61354,Non-Harmful Event,Cross Median,3,1,5555
3,61354,Right,Motor Vehicle In-Transport ,4,1,2
4,61354,Non-Collision,Rollover/Overturn,5,1,9999
0,61356,Left-Back Side,Motor Vehicle In-Transport ,1,1,2
0,61356,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
0,61357,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,61358,Non-Collision,Rollover/Overturn,1,1,9999
1,61358,Non-Harmful Event,Cross Centerline,2,1,5555
2,61358,Non-Harmful Event,Ran Off Roadway - Left,3,1,5555
3,61358,Left,Shrubbery,4,1,9999
0,61358,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61358,12 Clock Point,Tree (Standing Only),2,1,9999
2,61358,Non-Collision,Rollover/Overturn,3,1,9999
0,61363,Non-Collision,Rollover/Overturn,1,1,9999
0,61364,12 Clock Point,Motor Vehicle In-Transport ,1,3,1
1,61364,12 Clock Point,Motor Vehicle In-Transport ,2,3,2
2,61364,Non-Collision,Fell/Jumped from Vehicle,3,1,9999
3,61364,Non-Collision,Fell/Jumped from Vehicle,4,2,9999
0,61364,9 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,61364,Non-Collision,Rollover/Overturn,2,1,9999
2,61364,Non-Harmful Event,Ran Off Roadway - Right,3,1,5555
3,61364,Not Reported,Curb,4,1,9999
4,61364,Not Reported,Utility Pole/Light Support,5,1,9999
0,61366,1 Clock Point,Pedestrian,1,1,9999
0,61367,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,61367,Undercarriage,Curb,2,1,9999
2,61367,9 Clock Point,Tree (Standing Only),3,1,9999
3,61367,Non-Collision,Fire/Explosion,4,1,9999
0,61371,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61371,12 Clock Point,Embankment,2,1,9999
2,61371,Not Reported,Tree (Standing Only),3,1,9999
0,61372,Non-Harmful Event,Cross Centerline,1,1,5555
1,61372,Non-Collision,Rollover/Overturn,2,1,9999
2,61372,12 Clock Point,Motor Vehicle In-Transport ,3,1,2
0,61372,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61372,Not Reported,Curb,2,1,9999
2,61372,Non-Harmful Event,Vehicle Went Airborne,3,1,5555
3,61372,Not Reported,Pedestrian,4,1,9999
4,61372,Not Reported,Pedestrian,5,1,9999
0,61373,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61373,Non-Harmful Event,Re-entering Roadway,2,1,5555
2,61373,Non-Harmful Event,Cross Centerline,3,1,5555
3,61373,Non-Harmful Event,Ran Off Roadway - Right,4,1,5555
4,61373,Not Reported,Traffic Sign Support ,5,1,9999
5,61373,Non-Collision,Rollover/Overturn,6,1,9999
0,61374,12 Clock Point,Pedestrian,1,1,9999
0,61374,Non-Harmful Event,Ran Off Roadway - Left,1,1,9999
1,61374,Undercarriage,Curb,2,1,9999
2,61374,Non-Harmful Event,Cross Centerline,3,1,9999
3,61374,12 Clock Point,Motor Vehicle In-Transport ,4,1,2
4,61374,12 Clock Point,Motor Vehicle In-Transport ,5,3,4
0,61376,Top,Pedestrian,1,1,9999
0,61377,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61377,12 Clock Point,Parked Motor Vehicle ,2,1,2
2,61377,12 Clock Point,Parked Motor Vehicle ,3,1,3
3,61377,12 Clock Point,Parked Motor Vehicle ,4,1,4
4,61377,12 Clock Point,Parked Motor Vehicle ,5,1,5
5,61377,Not Reported,Other Fixed Object,6,1,9999
0,61378,Non-Harmful Event,Cross Centerline,1,1,5555
1,61378,Non-Harmful Event,Cross Centerline,2,1,5555
2,61378,Non-Harmful Event,Ran Off Roadway - Right,3,1,5555
3,61378,8 Clock Point,Shrubbery,4,1,9999
4,61378,Not Reported,Fence,5,1,9999
5,61378,9 Clock Point,Tree (Standing Only),6,1,9999
0,61379,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61379,Non-Collision,Rollover/Overturn,2,1,9999
2,61379,Not Reported,Other Fixed Object,3,1,9999
3,61379,Non-Harmful Event,Vehicle Went Airborne,4,1,5555
0,61381,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,61381,Non-Harmful Event,Re-entering Roadway,2,1,5555
2,61381,Non-Harmful Event,Ran Off Roadway - Right,3,1,5555
3,61381,12 Clock Point,Guardrail Face,4,1,9999
0,61382,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61382,12 Clock Point,Parked Motor Vehicle ,2,1,2
2,61382,Other Objects Set-In-Motion,Parked Motor Vehicle ,3,1,3
3,61382,Other Objects Set-In-Motion,Parked Motor Vehicle ,4,1,4
4,61382,Not Reported,Tree (Standing Only),5,1,9999
5,61382,Not Reported,Object That Had Fallen From Motor Vehicle In-Transport,6,1,9999
6,61382,Other Objects Set-In-Motion,Parked Motor Vehicle ,7,1,4
7,61382,Other Objects Set-In-Motion,Parked Motor Vehicle ,8,1,5
8,61382,Non-Collision,Rollover/Overturn,9,1,9999
0,61387,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61387,Non-Harmful Event,Re-entering Roadway,2,1,5555
2,61387,Non-Harmful Event,Ran Off Roadway - Left,3,1,5555
3,61387,Not Reported,Boulder,4,1,9999
4,61387,Non-Collision,Rollover/Overturn,5,1,9999
0,61388,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
0,61389,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61389,12 Clock Point,Embankment,2,1,9999
2,61389,Undercarriage,Curb,3,1,9999
3,61389,Non-Collision,Rollover/Overturn,4,1,9999
4,61389,Not Reported,Fence,5,1,9999
5,61389,Not Reported,Building,6,1,9999
0,61391,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,61391,Non-Collision,Rollover/Overturn,2,2,9999
0,61392,Non-Harmful Event,Cross Centerline,1,1,5555
1,61392,3 Clock Point,Motor Vehicle In-Transport ,2,1,2
2,61392,Non-Harmful Event,Ran Off Roadway - Left,3,1,5555
3,61392,Non-Collision,Rollover/Overturn,4,1,9999
0,61393,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,61393,Not Reported,Traffic Sign Support ,2,1,9999
0,61395,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61395,12 Clock Point,Other Fixed Object,2,1,9999
2,61395,12 Clock Point,Other Fixed Object,3,1,9999
3,61395,Not Reported,Building,4,1,9999
4,61395,12 Clock Point,Pedestrian,5,1,9999
5,61395,12 Clock Point,Pedestrian,6,1,9999
6,61395,12 Clock Point,Pedestrian,7,1,9999
0,61395,Non-Harmful Event,Cross Centerline,1,1,9999
1,61395,Non-Harmful Event,Ran Off Roadway - Left,2,1,9999
2,61395,Undercarriage,Curb,3,1,9999
3,61395,Right,Utility Pole/Light Support,4,1,9999
4,61395,Not Reported,Tree (Standing Only),5,1,9999
5,61395,Non-Collision,Rollover/Overturn,6,1,9999
6,61395,Set-In-Motion (Not a Clock Point),Parked Motor Vehicle ,7,1,2
7,61395,Set-In-Motion (Not a Clock Point),Parked Motor Vehicle ,8,1,3
0,61396,12 Clock Point,Pedestrian,1,1,9999
0,61399,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,61399,Non-Collision,Rollover/Overturn,2,2,9999
0,61400,Non-Harmful Event,Ran Off Roadway - Right,1,1,9999
1,61400,Right,Embankment,2,1,9999
2,61400,Non-Harmful Event,Re-entering Roadway,3,1,9999
3,61400,Non-Harmful Event,Cross Centerline,4,1,9999
4,61400,Non-Harmful Event,Ran Off Roadway - Left,5,1,9999
5,61400,Non-Harmful Event,Vehicle Went Airborne,6,1,9999
6,61400,Right,Tree (Standing Only),7,1,9999
7,61400,Undercarriage,Ground,8,1,9999
0,61401,Non-Collision,Fell/Jumped from Vehicle,1,1,9999
0,61410,Non-Collision,Rollover/Overturn,1,1,9999
1,61410,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,61410,Not Reported,Curb,3,1,9999
3,61410,Not Reported,Utility Pole/Light Support,4,1,9999
4,61410,Not Reported,Tree (Standing Only),5,1,9999
0,61411,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61411,Undercarriage,Curb,2,1,9999
2,61411,Non-Collision,Rollover/Overturn,3,1,9999
0,61412,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,61412,Not Reported,Curb,2,1,9999
2,61412,Not Reported,Utility Pole/Light Support,3,1,9999
0,61412,Non-Collision,Rollover/Overturn,1,1,9999
1,61412,Not Reported,Motor Vehicle In-Transport ,2,1,2
2,61412,Non-Collision,Rollover/Overturn,3,2,9999
0,61412,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,61416,4 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,61416,4 Clock Point,Pedestrian,2,1,9999
0,61418,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
1,61418,12 Clock Point,Motor Vehicle In-Transport ,2,3,1
2,61418,1 Clock Point,Motor Vehicle In-Transport ,3,1,4
3,61418,6 Clock Point,Motor Vehicle In-Transport ,4,4,5
0,61418,Non-Harmful Event,Ran Off Roadway - Right,1,1,9999
1,61418,12 Clock Point,Tree (Standing Only),2,1,9999
0,61422,12 Clock Point,Pedestrian,1,1,9999
0,61422,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61422,12 Clock Point,Pedestrian,2,1,9999
2,61422,Right-Front Half,Guardrail Face,3,1,9999
0,61428,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,61433,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61433,1 Clock Point,Guardrail Face,2,1,9999
2,61433,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,61433,Non-Harmful Event,Cross Centerline,4,1,5555
4,61433,Non-Harmful Event,Ran Off Roadway - Left,5,1,5555
5,61433,Not Reported,Guardrail Face,6,1,9999
6,61433,Non-Harmful Event,Re-entering Roadway,7,1,5555
7,61433,12 Clock Point,Motor Vehicle In-Transport ,8,1,2
8,61433,Non-Harmful Event,Ran Off Roadway - Right,9,2,5555
9,61433,Right,Guardrail Face,10,2,9999
10,61433,Non-Collision,Rollover/Overturn,11,1,9999
0,61433,12 Clock Point,Pedestrian,1,1,9999
0,61437,12 Clock Point,Pedestrian,1,1,9999
0,61438,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61438,Undercarriage,Embankment,2,1,9999
2,61438,Non-Collision,Rollover/Overturn,3,1,9999
3,61438,12 Clock Point,Fence,4,1,9999
0,61440,12 Clock Point,Pedestrian,1,1,9999
0,61440,12 Clock Point,Pedestrian,1,1,9999
1,61440,Other Objects Set-In-Motion,Concrete Traffic Barrier,2,1,9999
0,61441,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61441,Right-Front Side,Tree (Standing Only),2,1,9999
2,61441,Non-Collision,Rollover/Overturn,3,1,9999
3,61441,Not Reported,Fence,4,1,9999
0,61442,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,61442,12 Clock Point,Motor Vehicle In-Transport ,2,1,3
2,61442,12 Clock Point,Motor Vehicle In-Transport ,3,1,4
0,61442,Non-Harmful Event,Cross Centerline,1,1,9999
1,61442,Non-Harmful Event,Ran Off Roadway - Left,2,1,9999
2,61442,Unknown,Guardrail Face,3,1,9999
3,61442,Unknown,Traffic Sign Support ,4,1,9999
0,61442,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,61444,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61444,Not Reported,Bridge Rail (Includes parapet),2,1,9999
2,61444,Non-Harmful Event,Vehicle Went Airborne,3,1,5555
3,61444,Not Reported,Ground,4,1,9999
4,61444,Not Reported,Concrete Traffic Barrier,5,1,9999
0,61448,Non-Harmful Event,Ran Off Roadway - Right,1,1,9999
1,61448,6 Clock Point,Concrete Traffic Barrier,2,1,9999
2,61448,Non-Harmful Event,Vehicle Went Airborne,3,1,9999
3,61448,Non-Collision,Rollover/Overturn,4,1,9999
4,61448,Unknown,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",5,1,2
5,61448,Unknown,Other Fixed Object,6,1,9999
6,61448,Unknown,Guardrail Face,7,1,9999
0,61449,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61449,12 Clock Point,Pedestrian,2,1,9999
2,61449,12 Clock Point,Parked Motor Vehicle ,3,1,2
0,61450,Right,Motor Vehicle In-Transport ,1,1,2
1,61450,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,61450,Not Reported,Parked Motor Vehicle ,3,1,3
0,61451,Non-Harmful Event,Cross Centerline,1,1,5555
1,61451,Non-Collision,Rollover/Overturn,2,2,9999
2,61451,Not Reported,Motor Vehicle In-Transport ,3,2,1
0,61452,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61452,12 Clock Point,Pedestrian,2,1,9999
0,61452,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,61452,Undercarriage,Curb,2,1,9999
2,61452,11 Clock Point,Tree (Standing Only),3,1,9999
0,61453,12 Clock Point,Non-Motorist on Personal Conveyance,1,1,9999
0,61455,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,61455,12 Clock Point,Traffic Sign Support ,2,1,9999
2,61455,11 Clock Point,Tree (Standing Only),3,1,9999
0,61455,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
